timestamp,Level,soc,RawLevel,Voltage_mV,InstantAmperage_mA,P_mW,P_load_mW,Temperature_C,IsCharging,AppleRawMaxCapacity,DesignCapacity,CycleCount,screen_on,state,brightness_pct,cell_linkquality,gps_on,gps_avgPower_mW,activeInterval,measuredInterval,cell_down_Bps,cell_up_Bps,wifi_down_Bps,wifi_up_Bps,t_seconds
1769448654.914112,79.0,0.79,75.21514629948365,4128,-91,375.648,375.648,24.69,0,2905,3254,599,,,,100,0,0.0,0.0,852.0,0.0,0.0,7.585196482503706,10.875604356114977,5224.08627224
1769448662.547145,79.0,0.79,75.21514629948365,4121,-11,45.331,45.331,24.69,0,2905,3254,599,,,,100,0,0.0,0.0,852.0,0.0,0.0,7.585196482503706,10.875604356114977,5231.719305039
1769448822.352016,79.0,0.79,75.23251808473992,4133,-8,33.064,33.064,24.29,0,2903,3254,599,,,,100,0,0.0,0.0,593.0,0.0,0.0,7.585196482503706,10.875604356114977,5391.524176121
1769448976.3669748,79.0,0.79,75.19807096107475,4132,-13,53.716,53.716,24.0,0,2903,3254,599,,,,100,0,0.0,0.0,593.0,0.0,0.0,7.585196482503706,10.875604356114977,5545.53913498
1769448995.5927458,79.0,0.79,75.19807096107475,4131,-18,74.358,74.358,24.0,0,2903,3254,599,,,,100,0,0.0,0.0,321.0,0.0,0.0,7.585196482503706,10.875604356114977,5564.76490593
1769449146.3748608,79.0,0.79,75.1895244658856,4133,-6,24.798,24.798,23.69,0,2902,3254,599,,,,100,0,0.0,0.0,321.0,0.0,0.0,7.585196482503706,10.875604356114977,5715.547020913
1769449228.566913,79.0,0.79,75.15506547208821,4132,-12,49.584,49.584,23.59,0,2902,3254,599,,,,100,0,0.0,0.0,321.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,5797.739073038
1769449501.349808,79.0,0.79,75.14650120648052,4132,-8,33.056,33.056,23.29,0,2901,3254,599,,,,100,0,0.0,0.0,170.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6070.521968127
1769449699.65442,79.0,0.79,75.13793103448276,4131,-11,45.441,45.441,23.09,0,2900,3254,599,,,,100,0,0.0,0.0,170.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6268.826580048
1769449891.361971,79.0,0.79,75.12935494998275,4131,-8,33.048,33.048,22.89,0,2899,3254,599,,,,100,0,0.0,0.0,354.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6460.53413105
1769449910.5430532,79.0,0.79,75.09486029665402,4128,-21,86.688,86.688,22.89,0,2899,3254,599,,,,100,0,0.0,0.0,389.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6479.715213299
1769450059.352826,79.0,0.79,75.09486029665402,4131,-7,28.917,28.917,22.69,0,2899,3254,599,,,,100,0,0.0,0.0,389.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6628.524986267
1769450207.379859,79.0,0.79,75.06036564332528,4130,-7,28.91,28.91,22.59,0,2899,3254,599,,,,100,0,0.0,0.0,389.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,6776.55201912
1769450806.361911,79.0,0.79,75.00862961684501,4130,-8,33.04,33.04,22.0,0,2897,3254,599,,,,100,0,0.0,0.0,315.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,7375.534071207
1769450825.580319,79.0,0.79,75.00862961684501,4127,-28,115.556,115.556,22.0,0,2897,3254,599,,,,100,0,0.0,0.0,599.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,7394.752479077
1769451435.443646,79.0,0.79,74.80179248534988,4128,-10,41.28,41.28,23.69,0,2901,3254,599,,,,100,0,0.0,0.0,599.0,0.5134968874244458,0.3013891278953531,201.9497241660258,116.03610466930458,8004.615806103
1769451468.086879,79.0,0.79,74.74155754651964,4126,-13,53.638,53.638,23.79,0,2902,3254,599,,,,100,0,0.0,0.0,0.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8037.259039164
1769451556.759234,79.0,0.79,74.71581122976231,4127,-10,41.27,41.27,24.09,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8125.931394101
1769451594.5627089,79.0,0.79,74.71581122976231,4127,-8,33.016,33.016,24.19,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8163.734869004
1769451598.757678,79.0,0.79,74.68136410609713,4121,-90,370.89,370.89,24.19,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8167.929838181
1769451721.357738,79.0,0.79,74.65564738292011,4125,-54,222.75,222.75,24.39,0,2904,3254,599,,,,100,0,0.0,0.0,0.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8290.529898167
1769451740.524809,79.0,0.79,74.62121212121212,4125,-30,123.75,123.75,24.5,0,2904,3254,599,,,,100,0,0.0,0.0,300.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8309.696969033
1769452145.353856,78.0,0.78,74.56110154905336,4127,-7,28.889,28.889,25.09,0,2905,3254,599,,,,100,0,0.0,0.0,300.0,2.3188321132507745,4.763478779744998,88.70935044228813,46.76854847040838,8714.526016236
